"","date","type","did_win","game_id","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts"
"1240",2023-02-26,"conf",TRUE,"FairfieldCanisius2-26","Canisius","MAAC","Fairfield","MAAC",200,65.1375,27,64,6,24,4,4,14,33,47,20,5,3,12,12,64
"1241",2023-02-26,"conf",TRUE,"BelmontNorthern Iowa2-26","Belmont","MVC","Northern Iowa","MVC",200,71.7625,29,62,7,27,18,20,8,27,35,12,11,1,7,15,83
"1242",2023-02-26,"conf",FALSE,"BelmontNorthern Iowa2-26","Northern Iowa","MVC","Belmont","MVC",200,71.7625,26,62,9,28,14,19,11,26,37,12,5,0,13,17,75
"1243",2023-02-26,"conf",TRUE,"Saint Peter'sNiagara2-26","Saint Peter's","MAAC","Niagara","MAAC",200,59.3625,25,47,4,12,12,16,9,14,23,9,8,4,13,18,66
"1244",2023-02-26,"conf",FALSE,"Saint Peter'sNiagara2-26","Niagara","MAAC","Saint Peter's","MAAC",200,59.3625,23,47,8,20,11,15,10,16,26,12,4,3,16,15,65
"1245",2023-02-26,"conf",TRUE,"ManhattanQuinnipiac2-26","Manhattan","MAAC","Quinnipiac","MAAC",200,72.4875,29,59,7,21,7,14,7,21,28,13,7,5,13,10,72
"1246",2023-02-26,"conf",FALSE,"ManhattanQuinnipiac2-26","Quinnipiac","MAAC","Manhattan","MAAC",200,72.4875,27,63,9,25,7,7,7,21,28,18,7,3,14,13,70
"1247",2023-02-26,"conf",TRUE,"Mount St. Mary'sRider2-26","Mount St. Mary's","MAAC","Rider","MAAC",200,62.7125,22,50,4,17,15,25,10,32,42,7,2,2,11,16,63
"1248",2023-02-26,"conf",FALSE,"Mount St. Mary'sRider2-26","Rider","MAAC","Mount St. Mary's","MAAC",200,62.7125,23,61,4,16,8,18,12,22,34,9,8,0,5,19,58
"1249",2023-02-26,"conf",FALSE,"CincinnatiMemphis2-26","Cincinnati","Amer","Memphis","Amer",200,71.675,29,59,10,27,5,9,12,27,39,17,5,2,20,17,73
"1250",2023-02-26,"conf",TRUE,"CincinnatiMemphis2-26","Memphis","Amer","Cincinnati","Amer",200,71.675,30,65,3,15,13,17,9,20,29,10,15,5,8,16,76
"1251",2023-02-26,"conf",TRUE,"Southern IllinoisIllinois Chicago2-26","Southern Illinois","MVC","Illinois Chicago","MVC",200,71.3625,23,64,10,24,12,17,6,30,36,17,7,5,6,16,68
"1252",2023-02-26,"conf",FALSE,"Southern IllinoisIllinois Chicago2-26","Illinois Chicago","MVC","Southern Illinois","MVC",200,71.3625,25,57,7,23,8,14,6,37,43,12,2,6,13,14,65
"1253",2023-02-26,"conf",TRUE,"Missouri St.Indiana St.2-26","Missouri St.","MVC","Indiana St.","MVC",200,63.95,23,54,7,24,13,21,11,26,37,11,9,5,10,21,66
"1254",2023-02-26,"conf",FALSE,"Missouri St.Indiana St.2-26","Indiana St.","MVC","Missouri St.","MVC",200,63.95,20,50,3,18,19,23,7,24,31,10,8,3,11,18,62
"1255",2023-02-26,"conf",TRUE,"DavidsonDuquesne2-26","Davidson","A10","Duquesne","A10",200,59.2,28,51,9,21,6,11,6,25,31,12,3,0,8,14,71
"1256",2023-02-26,"conf",FALSE,"DavidsonDuquesne2-26","Duquesne","A10","Davidson","A10",200,59.2,25,55,9,24,8,13,7,21,28,14,3,3,6,15,67
"1257",2023-02-26,"conf",FALSE,"EvansvilleIllinois St.2-26","Evansville","MVC","Illinois St.","MVC",200,63.275,21,56,5,16,6,8,6,15,21,6,8,4,11,13,53
"1258",2023-02-26,"conf",TRUE,"EvansvilleIllinois St.2-26","Illinois St.","MVC","Evansville","MVC",200,63.275,27,51,9,19,9,10,9,27,36,12,5,1,15,12,72
"1259",2023-02-26,"conf",FALSE,"WisconsinMichigan2-26","Wisconsin","B10","Michigan","B10",225,75.025,30,70,8,23,11,12,9,24,33,10,5,4,8,19,79
"1260",2023-02-26,"conf",TRUE,"WisconsinMichigan2-26","Michigan","B10","Wisconsin","B10",225,75.025,29,59,7,21,22,26,8,31,39,7,4,6,12,17,87
"1261",2023-02-26,"conf",TRUE,"Wichita St.Tulane2-26","Wichita St.","Amer","Tulane","Amer",200,73.025,26,49,10,22,21,29,4,31,35,19,9,1,15,13,83
"1262",2023-02-26,"conf",FALSE,"Wichita St.Tulane2-26","Tulane","Amer","Wichita St.","Amer",200,73.025,28,62,15,33,5,9,4,21,25,21,7,2,10,21,76
"1263",2023-02-26,"conf",TRUE,"UCLAColorado2-26","UCLA","P12","Colorado","P12",200,63.6875,22,54,1,14,15,22,9,26,35,6,8,4,9,20,60
"1264",2023-02-26,"conf",FALSE,"UCLAColorado2-26","Colorado","P12","UCLA","P12",200,63.6875,18,54,7,22,13,23,14,26,40,11,6,2,12,16,56
"1265",2023-02-26,"conf",FALSE,"DrakeBradley2-26","Drake","MVC","Bradley","MVC",200,67.175,24,63,5,21,8,11,10,18,28,11,9,1,11,14,61
"1266",2023-02-26,"conf",TRUE,"DrakeBradley2-26","Bradley","MVC","Drake","MVC",200,67.175,28,50,7,14,10,15,8,31,39,13,6,4,16,14,73
"1267",2023-02-26,"conf",TRUE,"UCFTulsa2-26","UCF","Amer","Tulsa","Amer",200,62.125,25,57,7,27,11,14,12,23,35,14,13,5,11,13,68
"1268",2023-02-26,"conf",FALSE,"UCFTulsa2-26","Tulsa","Amer","UCF","Amer",200,62.125,16,45,5,18,12,16,7,22,29,11,8,1,16,10,49
"1269",2023-02-26,"conf",FALSE,"ValparaisoMurray St.2-26","Valparaiso","MVC","Murray St.","MVC",225,78.175,33,70,6,23,4,6,7,27,34,16,7,2,13,17,76
"1270",2023-02-26,"conf",TRUE,"ValparaisoMurray St.2-26","Murray St.","MVC","Valparaiso","MVC",225,78.175,28,61,6,15,15,20,7,30,37,14,4,2,14,13,77
"1271",2023-02-26,"conf",TRUE,"RutgersPenn St.2-26","Rutgers","B10","Penn St.","B10",200,60.2,23,61,6,18,7,11,10,29,39,9,5,1,4,15,59
"1272",2023-02-26,"conf",FALSE,"RutgersPenn St.2-26","Penn St.","B10","Rutgers","B10",200,60.2,20,54,8,29,8,13,9,31,40,11,1,3,9,12,56
"1273",2023-02-26,"conf",FALSE,"WashingtonStanford2-26","Washington","P12","Stanford","P12",200,74.975,22,57,4,17,21,25,8,27,35,8,6,2,14,19,69
"1274",2023-02-26,"conf",TRUE,"WashingtonStanford2-26","Stanford","P12","Washington","P12",200,74.975,29,59,12,24,11,17,6,30,36,25,7,3,14,21,81
"1275",2023-02-26,"conf",FALSE,"Cal BaptistStephen F. Austin2-26","Cal Baptist","WAC","Stephen F. Austin","WAC",200,64.3375,19,55,7,24,13,19,14,20,34,8,3,2,15,17,58
"1276",2023-02-26,"conf",TRUE,"Cal BaptistStephen F. Austin2-26","Stephen F. Austin","WAC","Cal Baptist","WAC",200,64.3375,31,58,7,15,11,14,9,27,36,13,7,2,8,21,80
"1277",2023-02-25,"conf",FALSE,"Stony BrookCollege of Charleston2-25","Stony Brook","CAA","College of Charleston","CAA",200,71.125,19,62,7,27,7,11,9,23,32,8,4,1,13,17,52
"1278",2023-02-25,"conf",TRUE,"Stony BrookCollege of Charleston2-25","College of Charleston","CAA","Stony Brook","CAA",200,71.125,32,65,15,40,13,19,13,36,49,21,8,3,10,13,92
"1279",2023-02-25,"conf",FALSE,"CreightonVillanova2-25","Creighton","BE","Villanova","BE",200,62.5,23,59,5,26,16,20,11,21,32,13,1,3,6,10,67
"1280",2023-02-25,"conf",TRUE,"CreightonVillanova2-25","Villanova","BE","Creighton","BE",200,62.5,27,54,9,22,16,20,5,27,32,14,5,2,3,17,79
"1281",2023-02-25,"conf",TRUE,"ClemsonNorth Carolina St.2-25","Clemson","ACC","North Carolina St.","ACC",200,69.975,34,57,10,19,18,22,7,29,36,9,4,1,11,20,96
"1282",2023-02-25,"conf",FALSE,"ClemsonNorth Carolina St.2-25","North Carolina St.","ACC","Clemson","ACC",200,69.975,25,60,8,24,13,20,11,19,30,9,6,3,10,19,71
"1283",2023-02-25,"conf",TRUE,"OklahomaIowa St.2-25","Oklahoma","B12","Iowa St.","B12",200,59.8625,19,41,10,23,13,14,6,33,39,15,3,8,18,18,61
"1284",2023-02-25,"conf",FALSE,"OklahomaIowa St.2-25","Iowa St.","B12","Oklahoma","B12",200,59.8625,18,58,4,15,10,17,11,16,27,6,6,2,5,16,50
