"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","second_chance_pts","second_chance_fgm","second_chance_fga","second_change_fg_pct","pts_in_paint","pts_in_paint_fgm","pts_in_paint_fga","pts_in_paint_fg_pct","fast_brk_pts","fast_brk_fgm","fast_brk_fga","fast_brk_fg_pct","bench_pts","pts_tov","biggest_lead_score","biggest_lead","biggest_run_score","biggest_run","lead_changes","time_leading","quad_game","game_id","year"
"2022-03-21","post","N",false,"Ohio","MAC","Abilene Christian","WAC",200,74,26,53,7,23,27,40,11,23,34,10,5,2,14,23,86,15,,,,0,,,,0,,,,20,9,,1,,,0,0,"quad3","Abilene ChristianOhio3-21",2022
"2022-03-20","post","N",true,"Houston","Amer","Illinois","B10",200,62,25,59,6,22,12,17,15,24,39,10,8,6,9,16,68,11,6,15,0.4,24,12,23,0.52174,11,7,7,1,1,20,"49 - 65",16,"49-65",11,3,33.183333,"quad1","HoustonIllinois3-20",2022
"2022-03-20","post","N",false,"Illinois","B10","Houston","Amer",200,62,17,50,6,25,13,16,11,22,33,11,6,2,17,15,53,7,4,9,0.44444,20,10,21,0.47619,9,5,5,1,15,13,"3 - 0",3,"30-30",7,3,1.833333,"quad1","HoustonIllinois3-20",2022
"2022-03-20","post","A",false,"Florida","SEC","Xavier","BE",200,74,21,64,6,30,8,11,9,23,32,11,14,0,15,19,56,8,5,9,0.55556,28,14,24,0.58333,7,3,4,0.75,11,16,"0 - 3",3,"47-42",6,1,2.683333,"quad1","FloridaXavier3-20",2022
"2022-03-20","post","H",true,"Xavier","BE","Florida","SEC",200,74,26,53,4,20,16,22,7,36,43,18,10,2,18,13,72,9,6,8,0.75,38,19,26,0.73077,14,10,12,0.83333,26,18,"72 - 54",18,"12-7",7,1,36.415,"quad2","FloridaXavier3-20",2022
"2022-03-20","post","N",false,"Ohio St.","B10","Villanova","BE",200,59,24,57,7,22,6,11,15,20,35,11,4,3,12,18,61,16,9,16,0.5625,20,10,19,0.52632,8,3,3,1,7,8,,0,"48-39",6,0,0,"quad1","Ohio St.Villanova3-20",2022
"2022-03-20","post","N",true,"Villanova","BE","Ohio St.","B10",200,59,23,52,8,23,17,20,11,20,31,9,7,1,9,14,71,11,7,13,0.53846,26,13,23,0.56522,8,7,8,0.875,13,12,"44 - 29",15,"17-7",8,0,39.2,"quad1","Ohio St.Villanova3-20",2022
"2022-03-20","post","N",true,"UNC Wilmington","CAA","VMI","SC",200,76,31,65,10,25,21,25,9,25,34,15,11,1,10,19,93,12,,,,36,,,,4,,,,16,21,,15,,,4,0,"quad3","UNC WilmingtonVMI3-20",2022
"2022-03-20","post","N",false,"VMI","SC","UNC Wilmington","CAA",200,76,22,55,11,33,23,25,9,27,36,10,6,1,18,17,78,10,,,,18,,,,2,,,,0,5,,7,,,4,0,"quad3","UNC WilmingtonVMI3-20",2022
"2022-03-20","post","N",false,"Florida Atlantic","CUSA","Northern Colorado","BSky",200,71,29,71,8,17,5,6,12,25,37,7,8,3,8,18,71,6,,,,38,,,,2,,,,13,19,,6,,,6,0,"quad4","Florida AtlanticNorthern Colorado3-20",2022
