"team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"UAB","CUSA",0.616308,121,108.143,102,103.777,175,68.9493,168,-1.01258542377,11,0.43060000000000004,0.43060000000000004,12,0.43210000000000004,0.43210000000000004,,2016
"Utah St.","MWC",0.608581,122,110.301,69,106.148,214,67.6524,246,-7.4267181833379,19,0.4923,0.4923,18,0.5608000000000001,0.5608000000000001,,2016
"Belmont","OVC",0.607345,123,113.443,36,109.221,277,72.668,35,-4.9125821254234,23,0.5834999999999999,0.5834999999999999,15,0.47200000000000003,0.47200000000000003,,2016
"Northeastern","CAA",0.60553,124,106.2,129,102.315,148,66.1602,307,-7.0186978459779,20,0.544,0.544,17,0.5559000000000001,0.5559000000000001,,2016
"Louisiana Lafayette","SB",0.600321,125,108.936,90,105.15,200,71.2285,73,-7.5515983304541,27,0.5714,0.5714,15,0.48380000000000006,0.48380000000000006,,2016
"Illinois","B10",0.595899,126,105.536,143,102.031,138,68.9913,165,-7.2235060134549,16,0.5126000000000001,0.5126000000000001,26,0.6377,0.6377,,2016
"Ohio","MAC",0.595221,127,110.144,71,106.512,224,70.6957,90,-5.3467287592032,11,0.43650000000000005,0.43650000000000005,11,0.47190000000000004,0.47190000000000004,,2016
"College of Charleston","CAA",0.592159,128,96.4023,304,93.3264,15,64.9357,335,-7.2829418907641,15,0.45640000000000003,0.45640000000000003,15,0.5195,0.5195,,2016
"Wright St.","Horz",0.587948,129,100.358,229,97.3036,56,66.3053,301,-6.0544277723431,20,0.48830000000000007,0.48830000000000007,15,0.4665,0.4665,,2016
"TCU","B12",0.587328,130,100.068,237,97.0432,53,70.274,106,-6.6810362204545,12,0.4067,0.4067,34,0.6904999999999999,0.6904999999999999,,2016
"Nevada","MWC",0.586396,131,100.753,218,97.741,60,72.1285,52,-5.1297189815931,20,0.4985,0.4985,17,0.5537000000000001,0.5537000000000001,,2016
"Duquesne","A10",0.585113,132,108.248,98,105.06,198,73.5448,18,-7.8115231107755,11,0.3905,0.3905,19,0.5431,0.5431,,2016
"Pepperdine","WCC",0.579317,133,105.596,140,102.699,156,68.4041,201,-5.031984142434,15,0.5558000000000001,0.5558000000000001,19,0.5544,0.5544,,2016
"Siena","MAAC",0.574654,134,106.773,118,104.016,178,71.1004,79,-6.3875289875478,19,0.5127,0.5127,12,0.42360000000000003,0.42360000000000003,,2016
"Buffalo","MAC",0.574612,135,105.143,151,102.43,151,72.9118,27,-5.8194005409864,27,0.5536000000000001,0.5536000000000001,19,0.5386000000000001,0.5386000000000001,14,2016
"Green Bay","Horz",0.572927,136,106.946,113,104.248,185,77.2423,5,-4.5231638654543,19,0.5351,0.5351,17,0.5066,0.5066,14,2016
"Albany","AE",0.570255,137,104.657,158,102.114,144,67.3054,258,-4.0061332331567,13,0.38,0.38,9,0.33369999999999994,0.33369999999999994,,2016
"Grand Canyon","WAC",0.568255,138,103.144,177,100.709,121,69.5052,140,-0.9832140975376,17,0.4182,0.4182,12,0.3699,0.3699,,2016
"Southern Illinois","MVC",0.567869,139,104.978,154,102.514,153,70.4745,98,-3.3550632111043,7,0.3414,0.3414,15,0.4665,0.4665,,2016
"Marshall","CUSA",0.564025,140,109.771,79,107.341,241,77.9972,3,-8.734234971828,22,0.5928,0.5928,15,0.5025,0.5025,,2016
"Weber St.","BSky",0.559917,141,101.651,200,99.5448,99,67.6539,245,-3.6695000802553,17,0.5544,0.5544,11,0.3967,0.3967,15,2016
"Colorado St.","MWC",0.556719,142,111.283,58,109.1,275,68.893,171,-8.5032089873663,14,0.4897,0.4897,16,0.5466000000000001,0.5466000000000001,,2016
"Central Michigan","MAC",0.552445,143,110.277,70,108.276,261,67.4221,256,-9.2309040851129,15,0.467,0.467,13,0.48280000000000006,0.48280000000000006,,2016
"IPFW","Sum",0.552232,144,110.436,66,108.44,265,70.2909,105,-2.7164537845381,19,0.47790000000000005,0.47790000000000005,15,0.48410000000000003,0.48410000000000003,,2016
"Morehead St.","OVC",0.551434,145,105.047,152,103.178,166,66.2587,306,-6.4266956028903,22,0.5503,0.5503,14,0.47290000000000004,0.47290000000000004,,2016
"UNC Asheville","BSth",0.548685,146,101.152,208,99.4478,97,71.0036,83,-6.2604935086762,21,0.559,0.559,13,0.4011,0.4011,15,2016
"Penn St.","B10",0.54647,147,101.282,207,99.6532,101,66.99,273,-4.7461912789479,13,0.46490000000000004,0.46490000000000004,27,0.6426000000000001,0.6426000000000001,,2016
"Murray St.","OVC",0.545482,148,106.795,117,105.114,199,65.24,333,-8.9695298306915,19,0.6002,0.6002,12,0.4368000000000001,0.4368000000000001,,2016
"Vermont","AE",0.541386,149,107.324,112,105.787,210,68.513,193,-6.5626275016088,23,0.5717000000000001,0.5717000000000001,14,0.4142,0.4142,,2016
"Massachusetts","A10",0.539443,150,102.128,192,100.733,122,71.6032,58,-8.6665699492026,14,0.4667,0.4667,21,0.5927,0.5927,,2016
"Fordham","A10",0.538789,151,101.811,198,100.444,115,67.4605,254,-6.0036468911708,6,0.2537,0.2537,17,0.5068,0.5068,,2016
"Towson","CAA",0.536375,152,104.515,161,103.198,167,66.535,294,-6.1695982559548,8,0.3207,0.3207,13,0.48380000000000006,0.48380000000000006,,2016
"Montana","BSky",0.534499,153,105.462,147,104.202,182,66.1048,311,-5.7333752214361,33,0.6700999999999999,0.6700999999999999,14,0.40790000000000004,0.40790000000000004,,2016
"Eastern Michigan","MAC",0.534334,154,105.65,138,104.394,187,71.1891,76,-7.7901483598805,27,0.5943999999999999,0.5943999999999999,18,0.5471,0.5471,,2016
"Florida Gulf Coast","ASun",0.513593,155,102.856,184,102.371,150,67.9274,233,-8.4141622415621,17,0.4999,0.4999,13,0.41090000000000004,0.41090000000000004,16,2016
"North Florida","ASun",0.510295,156,113.475,35,113.069,324,71.2779,71,-5.1469903110567,24,0.5136000000000001,0.5136000000000001,15,0.4227,0.4227,,2016
"North Dakota St.","Sum",0.509798,157,100.117,234,99.7766,104,65.3977,330,-7.1949278880931,14,0.40780000000000005,0.40780000000000005,13,0.4575,0.4575,,2016
"Wyoming","MWC",0.509226,158,108.314,96,107.967,256,65.5248,325,-10.573136397517,15,0.5482,0.5482,17,0.5727000000000001,0.5727000000000001,,2016
"Western Kentucky","CUSA",0.50902,159,108.149,101,107.811,252,67.815,237,-9.527566644606,20,0.5239,0.5239,14,0.4767,0.4767,,2016
"Missouri","SEC",0.508811,160,102.864,183,102.55,155,68.8648,174,-9.4504958998353,19,0.4963,0.4963,29,0.6613999999999999,0.6613999999999999,,2016
"Nebraska Omaha","Sum",0.508433,161,108.132,103,107.815,253,77.1222,6,-7.6047183696033,13,0.4746,0.4746,13,0.48090000000000005,0.48090000000000005,,2016
"Harvard","Ivy",0.50352,162,99.2614,257,99.1399,90,66.9176,277,-8.9318005521504,22,0.531,0.531,19,0.508,0.508,,2016
"Loyola Chicago","MVC",0.502429,163,100.268,231,100.183,113,65.6936,319,-9.2716718978385,14,0.453,0.453,18,0.5118,0.5118,,2016
"Ball St.","MAC",0.499374,164,102.067,193,102.089,141,66.1418,309,-8.3246279515643,6,0.3078,0.3078,10,0.43240000000000006,0.43240000000000006,,2016
"Louisiana Tech","CUSA",0.497909,165,102.729,186,102.804,158,72.4255,41,-4.3328880464298,15,0.44630000000000003,0.44630000000000003,10,0.3985,0.3985,,2016
"Georgia St.","SB",0.494695,166,99.6526,243,99.8367,106,65.4007,329,-8.6053038922237,17,0.5499,0.5499,13,0.47650000000000003,0.47650000000000003,,2016
