"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2021-11-09,"MAC at B10","Indiana -22.7, 80-57 (98%)",32.78735381196153,"nc","Eastern Michigan",0.02118134587116439,57.36963531240879,"Indiana",0.9788186541288356,80.06502515492203,"Eastern MichiganIndiana11-9",2022
2021-11-09,"SWAC at B10","Illinois -20.9, 74-53 (98%)",32.64450561791732,"nc","Jackson St.",0.02078872675639945,52.59505971785494,"Illinois",0.9792112732436006,73.52371315139976,"Jackson St.Illinois11-9",2022
2021-11-09,"Slnd at SEC","Mississippi -15.4, 79-63 (92%)",32.100787104349244,"nc","New Orleans",0.07541431583554906,63.374854078227806,"Mississippi",0.924585684164451,78.8076849170614,"New OrleansMississippi11-9",2022
2021-11-09,"MAAC at Pat","Marist -4.4, 67-62 (69%)",31.7580222552039,"nc","Marist",0.6860345663144307,66.53211631985386,"American",0.3139654336855693,62.16024469001355,"MaristAmerican11-9",2022
2021-11-09,"Slnd at Amer","SMU -21.9, 85-63 (97%)",31.38199620446592,"nc","McNeese St.",0.03127133689379242,62.82643397538761,"SMU",0.9687286631062076,84.68362248442202,"McNeese St.SMU11-9",2022
2021-11-09,"MEAC at MVC","Loyola Chicago -22.3, 78-55 (98%)",31.252886820252712,"nc","Coppin St.",0.02013446181063521,55.40738774366636,"Loyola Chicago",0.9798655381893648,77.67531433805873,"Coppin St.Loyola Chicago11-9",2022
2021-11-09,"Horz at A10","Dayton -18.9, 77-58 (96%)",31.170304334372815,"nc","Illinois Chicago",0.03756071381137554,58.11728164492251,"Dayton",0.9624392861886244,77.05408795928196,"Illinois ChicagoDayton11-9",2022
2021-11-09,"Horz at Sum","North Dakota -2.2, 70-68 (59%)",30.73309922290584,"nc","Milwaukee",0.40891229663812495,67.69322362168653,"North Dakota",0.5910877033618751,69.89725673389614,"MilwaukeeNorth Dakota11-9",2022
2021-11-09,"BW at P12","California -10.6, 71-61 (86%)",30.724189347040586,"nc","UC San Diego",0.1355591664232267,60.72243010431825,"California",0.8644408335767733,71.33701224577344,"UC San DiegoCalifornia11-9",2022
2021-11-09,"AE at NEC","Wagner -10.6, 75-64 (85%)",30.398886523612095,"nc","Hartford",0.14717521334937309,64.07353193703746,"Wagner",0.8528247866506269,74.64980481778176,"HartfordWagner11-9",2022
2021-11-09,"BSth at ACC","Clemson -15.6, 72-57 (94%)",30.311406172786334,"nc","Presbyterian",0.05711574535966363,56.55582028564877,"Clemson",0.9428842546403364,72.171292443021,"PresbyterianClemson11-9",2022
2021-11-09,"MVC at SB","Southern Illinois -7.6, 66-59 (80%)",29.933633927202447,"nc","Southern Illinois",0.8014202759417117,66.30333195023138,"Little Rock",0.19857972405828828,58.728131890309896,"Southern IllinoisLittle Rock11-9",2022
2021-11-09,"MAC at P12","Washington -15.1, 75-60 (93%)",29.904591928718137,"nc","Northern Illinois",0.07039031972701947,60.15266009472409,"Washington",0.9296096802729804,75.28607180943597,"Northern IllinoisWashington11-9",2022
2021-11-09,"SWAC at BE","St. John's -32.2, 99-67 (99%)",28.974740822239436,"nc","Mississippi Valley St.",0.01055463677086929,66.61221603787764,"St. John's",0.9894453632291308,98.86160724380576,"Mississippi Valley St.St. John's11-9",2022
2021-11-09,"BSth at SC","UNC Greensboro -8.4, 67-58 (82%)",28.750985185204424,"nc","North Carolina A&T",0.17554059234634806,58.37016355270089,"UNC Greensboro",0.824459407653652,66.77402899402523,"North Carolina A&TUNC Greensboro11-9",2022
2021-11-09,"Slnd at B12","Oklahoma -27.5, 87-60 (99%)",28.662641017337016,"nc","Northwestern St.",0.01285128310074451,59.89254835466463,"Oklahoma",0.9871487168992557,87.36223918530239,"Northwestern St.Oklahoma11-9",2022
2021-11-09,"NEC at B10","Wisconsin -22.4, 78-55 (98%)",28.528434346406613,"nc","St. Francis NY",0.01950185025019724,55.30469719198278,"Wisconsin",0.9804981497498028,77.75123923926408,"St. Francis NYWisconsin11-9",2022
2021-11-09,"Pat at ACC","Syracuse -23.2, 85-61 (98%)",28.26413905471504,"nc","Lafayette",0.02453586368692392,61.40878501047191,"Syracuse",0.975464136313076,84.58817040225435,"LafayetteSyracuse11-9",2022
2021-11-09,"Slnd at B12","Texas -28.9, 82-53 (99%)",27.77018263200865,"nc","Houston Baptist",0.00689613538737815,53.48866231458324,"Texas",0.993103864612622,82.40389262471686,"Houston BaptistTexas11-9",2022
2021-11-09,"MEAC at Amer","East Carolina -13.2, 77-64 (90%)",27.692556061307833,"nc","South Carolina St.",0.1029588407560519,63.52302181581909,"East Carolina",0.8970411592439481,76.68019570635153,"South Carolina St.East Carolina11-9",2022
2021-11-09,"MEAC at A10","Richmond -18.1, 78-60 (95%)",26.224471483194066,"nc","North Carolina Central",0.04588594942071947,60.01314213800563,"Richmond",0.9541140505792806,78.13545663500005,"North Carolina CentralRichmond11-9",2022
2021-11-09,"SWAC at CUSA","Western Kentucky -17.8, 84-66 (94%)",26.22287007637418,"nc","Alabama St.",0.06026478643065449,66.09376983517666,"Western Kentucky",0.9397352135693456,83.92562809549844,"Alabama St.Western Kentucky11-9",2022
2021-11-09,"SWAC at WAC","Grand Canyon -18.1, 75-57 (96%)",25.765801160022654,"nc","Grambling St.",0.04010220169327093,57.02222320262329,"Grand Canyon",0.959897798306729,75.15573500954109,"Grambling St.Grand Canyon11-9",2022
2021-11-09,"MEAC at A10","Saint Joseph's -13.4, 70-57 (92%)",25.652533244460972,"nc","Maryland Eastern Shore",0.08101121720143663,56.91981820861025,"Saint Joseph's",0.9189887827985632,70.3043511800959,"Maryland Eastern ShoreSaint Joseph's11-9",2022
2021-11-09,"NEC at A10","George Washington -10.9, 75-64 (86%)",24.83155025266306,"nc","St. Francis PA",0.141254474965557,64.06966505440386,"George Washington",0.858745525034443,74.95737863371974,"St. Francis PAGeorge Washington11-9",2022
2021-11-09,"Pat at ACC","North Carolina St. -18.3, 86-68 (94%)",24.29240415848965,"nc","Bucknell",0.06034527743475442,67.88922980772365,"North Carolina St.",0.9396547225652456,86.19484987134634,"BucknellNorth Carolina St.11-9",2022
2021-11-09,"MAC at SEC","Missouri -13.5, 74-60 (91%)",23.753202583825846,"nc","Central Michigan",0.08927445577702145,60.37186829021145,"Missouri",0.9107255442229786,73.88294662124828,"Central MichiganMissouri11-9",2022
