"","date","tv","opponent","arena","location","time","team"
"4593",2022-11-11,"ESPN+","UMass Lowell","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4594",2022-11-13,NA,"Sacred Heart","William H. Pitt Center","Away","13:00","Columbia"
"4595",2022-11-17,"ESPN+","Delaware St.","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4596",2022-11-19,"ESPN3","Maine","Memorial Gymnasium (ME)","Away","19:00","Columbia"
"4597",2022-11-20,"ESPN+","SUNY Maritime","Francis S. Levien Gymnasium","Home","13:00","Columbia"
"4598",2022-11-23,"ESPN+","Binghamton","Events Center (Binghamton)","Away","14:00","Columbia"
"4599",2022-11-26,NA,"Providence","Amica Mutual Pavilion","Away","16:00","Columbia"
"4600",2022-11-29,"ESPN+","Marist","McCann Arena","Away","19:00","Columbia"
"4601",2022-12-03,"ESPN+","New Hampshire","Francis S. Levien Gymnasium","Home","16:00","Columbia"
"4602",2022-12-04,"ESPN+","Sarah Lawrence","Francis S. Levien Gymnasium","Home","16:00","Columbia"
"4603",2022-12-07,"ESPN+","UMBC","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4604",2022-12-10,"ESPN+","Fairleigh Dickinson","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4605",2022-12-13,NA,"Lafayette","Kirby Sports Center","Away","19:00","Columbia"
"4606",2022-12-29,"ESPN+","Maryland Eastern Shore","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4607",2022-12-31,"ESPN+","Yale","Francis S. Levien Gymnasium","Home","12:00","Columbia"
"4608",2023-01-07,"ESPN+","Princeton","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4609",2023-01-08,"ESPN+","Penn","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4610",2023-01-14,"ESPN+","Harvard","Lavietes Pavilion","Away","13:00","Columbia"
"4611",2023-01-16,"ESPN+","Cornell","Francis S. Levien Gymnasium","Home","14:00","Columbia"
"4612",2023-01-21,"ESPN+","Brown","Pizzitola Sports Center","Away","16:00","Columbia"
"4613",2023-01-28,"ESPN+","Dartmouth","Edward Leede Arena","Away","14:00","Columbia"
"4614",2023-02-04,"ESPN+","Penn","The Palestra","Away","19:00","Columbia"
"4615",2023-02-04,"ESPN+","Princeton","Jadwin Gymnasium","Away","18:00","Columbia"
"4616",2023-02-12,NA,"Yale","John J. Lee Amphitheater","Away","19:00","Columbia"
"4617",2023-02-18,"ESPN+","Harvard","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4618",2023-02-19,"ESPN+","Dartmouth","Francis S. Levien Gymnasium","Home","19:00","Columbia"
"4619",2023-02-25,"ESPN+","Brown","Francis S. Levien Gymnasium","Home","14:00","Columbia"
"4620",2023-03-04,"ESPN+","Cornell","Newman Arena","Away","00:00","Columbia"
"4621",2022-11-08,"ESPN+","Boston College","Silvio O. Conte Forum","Away","20:00","Cornell"
"4622",2022-11-08,"ACCNX","Boston College","Silvio O. Conte Forum","Away","20:00","Cornell"
"4623",2022-11-11,"ESPN+","SUNY-Delhi","Newman Arena","Home","19:00","Cornell"
"4624",2022-11-15,NA,"St. Francis PA","DeGol Arena","Away","19:00","Cornell"
"4625",2022-11-19,"ESPN+","Ithaca College","Newman Arena","Home","19:00","Cornell"
"4626",2022-11-22,"ESPN+","Canisius","Newman Arena","Home","17:00","Cornell"
"4627",2022-11-25,NA,"Monmouth","OceanFirst Bank Center","Away","14:00","Cornell"
"4628",2022-12-02,NA,"Delaware","Bob Carpenter Center","Away","19:00","Cornell"
"4629",2022-12-04,"ESPN+","Lafayette","Newman Arena","Home","13:00","Cornell"
"4630",2022-12-08,"ACCNX","Miami FL","Watsco Center","Away","19:00","Cornell"
"4631",2022-12-17,"ACCN","Syracuse","JMA Wireless Dome","Away","15:00","Cornell"
"4632",2022-12-20,"ESPN+","Lehigh","Newman Arena","Home","17:00","Cornell"
"4633",2022-12-22,NA,"Colgate","Cotterell Court","Away","14:00","Cornell"
"4634",2022-12-30,"ESPN+","Binghamton","Newman Arena","Home","19:00","Cornell"
"4635",2023-01-01,"ESPN+","Dartmouth","Edward Leede Arena","Away","14:00","Cornell"
"4636",2023-01-07,"ESPN+","Penn","Newman Arena","Home","19:00","Cornell"
"4637",2023-01-07,"ESPN+","Princeton","Newman Arena","Home","18:00","Cornell"
"4638",2023-01-13,"ESPNU","Yale","Newman Arena","Home","17:00","Cornell"
"4639",2023-01-16,"ESPN+","Columbia","Francis S. Levien Gymnasium","Away","14:00","Cornell"
"4640",2023-01-21,"ESPN+","Harvard","Lavietes Pavilion","Away","14:00","Cornell"
"4641",2023-01-28,"ESPN+","Brown","Newman Arena","Home","14:00","Cornell"
"4642",2023-02-04,"ESPN+","Princeton","Jadwin Gymnasium","Away","19:00","Cornell"
"4643",2023-02-04,"ESPN+","Penn","The Palestra","Away","18:00","Cornell"
"4644",2023-02-11,"ESPN+","Brown","Pizzitola Sports Center","Away","14:00","Cornell"
"4645",2023-02-17,"ESPN+","Dartmouth","Newman Arena","Home","18:00","Cornell"
"4646",2023-02-18,"ESPN+","Harvard","Newman Arena","Home","18:00","Cornell"
"4647",2023-02-26,NA,"Yale","John J. Lee Amphitheater","Away","19:00","Cornell"
"4648",2023-03-04,"ESPN+","Columbia","Newman Arena","Home","00:00","Cornell"
"4649",2022-11-08,"ESPN+","Fordham","Rose Hill Gymnasium","Away","19:30","Dartmouth"
"4650",2022-11-12,"ESPN+","Bryant","Edward Leede Arena","Home","19:00","Dartmouth"
"4651",2022-11-13,"ESPN+","Massachusetts College","Edward Leede Arena","Home","19:00","Dartmouth"
"4652",2022-11-16,"ESPN+","Quinnipiac","M&T Bank Arena","Away","19:00","Dartmouth"
"4653",2022-11-25,NA,"Incarnate Word","UTSA Convocation Center","Neutral","14:00","Dartmouth"
"4654",2022-11-28,NA,"UTSA","UTSA Convocation Center","Away","20:30","Dartmouth"
"4655",2022-11-28,NA,"Grambling St.","UTSA Convocation Center","Neutral","14:00","Dartmouth"
"4656",2022-12-01,"ESPN+","Northern Vermont - Johnson","Edward Leede Arena","Home","19:00","Dartmouth"
"4657",2022-12-03,"ESPN+","Cal State Bakersfield","Edward Leede Arena","Home","14:00","Dartmouth"
"4658",2022-12-07,"ESPN+","Vermont","Edward Leede Arena","Home","19:00","Dartmouth"
"4659",2022-12-10,NA,"Central Connecticut","William H. Detrick Gymnasium","Away","19:00","Dartmouth"
"4660",2022-12-14,NA,"Boston University","Case Gym","Away","19:00","Dartmouth"
"4661",2022-12-17,"ESPN+","South Florida","Yuengling Center","Away","19:00","Dartmouth"
"4662",2022-12-21,"ESPN+","Massachusetts","William D. Mullins Memorial Center","Away","19:00","Dartmouth"
"4663",2022-12-30,"ESPN+","New Hampshire","Edward Leede Arena","Home","19:00","Dartmouth"
"4664",2023-01-01,"ESPN+","Cornell","Edward Leede Arena","Home","14:00","Dartmouth"
"4665",2023-01-07,NA,"Yale","John J. Lee Amphitheater","Away","19:00","Dartmouth"
"4666",2023-01-07,"ESPN+","Brown","Pizzitola Sports Center","Away","18:00","Dartmouth"
"4667",2023-01-14,"ESPN+","Penn","Edward Leede Arena","Home","14:00","Dartmouth"
"4668",2023-01-16,"ESPN+","Harvard","Lavietes Pavilion","Away","14:00","Dartmouth"
"4669",2023-01-21,"ESPN+","Princeton","Jadwin Gymnasium","Away","14:00","Dartmouth"
"4670",2023-01-28,"ESPN+","Columbia","Edward Leede Arena","Home","14:00","Dartmouth"
"4671",2023-02-03,"ESPN+","Brown","Edward Leede Arena","Home","18:00","Dartmouth"
"4672",2023-02-04,"ESPN+","Yale","Edward Leede Arena","Home","18:00","Dartmouth"
"4673",2023-02-11,"ESPN+","Princeton","Edward Leede Arena","Home","14:00","Dartmouth"
"4674",2023-02-17,"ESPN+","Cornell","Newman Arena","Away","18:00","Dartmouth"
"4675",2023-02-19,"ESPN+","Columbia","Francis S. Levien Gymnasium","Away","19:00","Dartmouth"
"4676",2023-02-25,"ESPN+","Penn","The Palestra","Away","14:00","Dartmouth"
"4677",2023-03-04,"ESPN+","Harvard","Edward Leede Arena","Home","14:00","Dartmouth"
"4678",2022-11-08,"ESPN+","Guilford","John M. Belk Arena","Home","19:00","Davidson"
"4679",2022-11-10,"ESPN+","Wright St.","Nutter Center","Away","19:00","Davidson"
"4680",2022-11-13,"ESPN+","VMI","John M. Belk Arena","Home","14:00","Davidson"
"4681",2022-11-18,"ESPNU","College of Charleston","TD Arena","Away","19:00","Davidson"
"4682",2022-11-25,"ESPN+","San Francisco","John M. Belk Arena","Home","14:00","Davidson"
"4683",2022-11-30,"ESPN+","Charlotte","John M. Belk Arena","Home","19:00","Davidson"
"4684",2022-12-03,NA,"Delaware","Bob Carpenter Center","Away","14:00","Davidson"
"4685",2022-12-08,"ESPN+","Western Carolina","John M. Belk Arena","Home","19:00","Davidson"
"4686",2022-12-17,NA,"Purdue","Gainbridge Fieldhouse","Neutral","18:15","Davidson"
"4687",2022-12-21,"ESPN+","Northeastern","John M. Belk Arena","Home","13:00","Davidson"
"4688",2022-12-29,NA,"Fordham","Rose Hill Gymnasium","Away","19:00","Davidson"
"4689",2022-12-31,"ESPN+","Dayton","John M. Belk Arena","Home","14:00","Davidson"
"4690",2023-01-05,NA,"Loyola Chicago","John M. Belk Arena","Home","19:00","Davidson"
"4691",2023-01-07,NA,"VCU","Stuart C. Siegel Center","Away","12:00","Davidson"
"4692",2023-01-12,"ESPN+","Richmond","John M. Belk Arena","Home","19:00","Davidson"
"4693",2023-01-14,"ESPNU","George Mason","EagleBank Arena","Away","12:00","Davidson"
"4694",2023-01-18,NA,"Dayton","UD Arena","Away","19:00","Davidson"
"4695",2023-01-25,"ESPN+","La Salle","Tom Gola Arena","Away","19:00","Davidson"
"4696",2023-01-28,"ESPN2","Saint Louis","John M. Belk Arena","Home","19:00","Davidson"
"4697",2023-02-01,NA,"VCU","John M. Belk Arena","Home","19:00","Davidson"
"4698",2023-02-04,NA,"Massachusetts","William D. Mullins Memorial Center","Away","12:30","Davidson"
"4699",2023-02-11,NA,"Fordham","John M. Belk Arena","Home","14:30","Davidson"
"4700",2023-02-16,NA,"Saint Louis","Chaifetz Arena","Away","21:00","Davidson"
"4701",2023-02-18,NA,"Saint Joseph's","John M. Belk Arena","Home","12:30","Davidson"
"4702",2023-02-23,NA,"St. Bonaventure","John M. Belk Arena","Home","19:00","Davidson"
"4703",2023-02-26,NA,"Duquesne","UPMC Cooper Fieldhouse","Away","14:00","Davidson"
"4704",2023-03-02,"ESPN+","George Washington","John M. Belk Arena","Home","19:00","Davidson"
"4705",2023-03-05,NA,"Rhode Island","Ryan Center","Away","20:00","Davidson"
"4706",2022-11-08,"ESPN+","Lindenwood","UD Arena","Home","19:00","Dayton"
"4707",2022-11-12,"ESPN+","SMU","UD Arena","Home","19:00","Dayton"
"4708",2022-11-16,"CBSSN","UNLV","Thomas & Mack Center","Away","23:00","Dayton"
"4709",2022-11-19,"ESPN+","Robert Morris","UD Arena","Home","13:00","Dayton"
"4710",2022-11-23,"ESPN","Wisconsin","Imperial Arena","Neutral","14:30","Dayton"
"4711",2022-12-01,"ESPN+","Western Michigan","UD Arena","Home","19:00","Dayton"
"4712",2022-12-03,"ESPN+","Southeastern Louisiana","UD Arena","Home","14:00","Dayton"
"4713",2022-12-08,"ACCN","Virginia Tech","Cassell Coliseum","Away","20:00","Dayton"
"4714",2022-12-10,NA,"UNC Asheville","UD Arena","Home","14:00","Dayton"
"4715",2022-12-18,NA,"Wyoming","United Center","Neutral","20:00","Dayton"
"4716",2022-12-20,"ESPN+","Alcorn St.","UD Arena","Home","00:00","Dayton"
"4717",2022-12-29,"ESPN+","Duquesne","UD Arena","Home","19:00","Dayton"
"4718",2022-12-31,"ESPN+","Davidson","John M. Belk Arena","Away","14:00","Dayton"
"4719",2023-01-04,"ESPN+","Saint Joseph's","UD Arena","Home","00:00","Dayton"
"4720",2023-01-11,"ESPN+","Fordham","Rose Hill Gymnasium","Away","19:00","Dayton"
"4721",2023-01-14,"ESPN2","VCU","UD Arena","Home","21:00","Dayton"
"4722",2023-01-18,NA,"Davidson","UD Arena","Home","19:00","Dayton"
"4723",2023-01-21,NA,"George Washington","Charles E. Smith Center","Away","12:30","Dayton"
"4724",2023-01-26,NA,"Rhode Island","Ryan Center","Away","19:00","Dayton"
"4725",2023-01-28,NA,"Richmond","UD Arena","Home","16:00","Dayton"
"4726",2023-02-01,NA,"Loyola Chicago","UD Arena","Home","21:00","Dayton"
"4727",2023-02-05,NA,"St. Bonaventure","Reilly Center","Away","20:00","Dayton"
"4728",2023-02-08,NA,"VCU","Stuart C. Siegel Center","Away","19:00","Dayton"
"4729",2023-02-11,"ESPN2","Saint Louis","UD Arena","Home","20:00","Dayton"
"4730",2023-02-18,"ESPN2","Loyola Chicago","Joseph J. Gentile Arena","Away","19:00","Dayton"
"4731",2023-02-23,NA,"Massachusetts","William D. Mullins Memorial Center","Away","19:00","Dayton"
"4732",2023-02-25,NA,"George Mason","UD Arena","Home","18:00","Dayton"
"4733",2023-02-28,NA,"La Salle","UD Arena","Home","00:00","Dayton"
"4734",2023-03-04,"ESPN2","Saint Louis","Chaifetz Arena","Away","19:00","Dayton"
"4735",2022-11-08,NA,"Wilmington (DE)","Bob Carpenter Center","Home","19:00","Delaware"
"4736",2022-11-11,NA,"Air Force","Clune Arena","Away","17:00","Delaware"
"4737",2022-11-19,"ACCNX","Duke","Cameron Indoor Stadium","Away","19:00","Delaware"
"4738",2022-11-25,NA,"Colgate","The Palestra","Neutral","14:00","Delaware"
"4739",2022-11-26,NA,"Hartford","The Palestra","Neutral","14:00","Delaware"
"4740",2022-11-27,"ESPN+","Penn","The Palestra","Away","16:30","Delaware"
"4741",2022-12-02,NA,"Cornell","Bob Carpenter Center","Home","19:00","Delaware"
"4742",2022-12-03,NA,"Davidson","Bob Carpenter Center","Home","14:00","Delaware"
"4743",2022-12-08,NA,"Delaware St.","Bob Carpenter Center","Home","19:00","Delaware"
"4744",2022-12-11,NA,"Siena","Bob Carpenter Center","Home","14:00","Delaware"
"4745",2022-12-16,"ESPN+","Princeton","Jadwin Gymnasium","Away","14:00","Delaware"
"4746",2022-12-20,"ESPN+","Rider","Alumni Gymnasium (Rider)","Away","19:00","Delaware"
"4747",2022-12-22,NA,"Ohio","Bob Carpenter Center","Home","19:00","Delaware"
"4748",2022-12-30,NA,"Hofstra","Bob Carpenter Center","Home","19:00","Delaware"
"4749",2022-12-31,NA,"Elon","Bob Carpenter Center","Home","14:00","Delaware"
"4750",2023-01-07,NA,"College of Charleston","TD Arena","Away","17:00","Delaware"
"4751",2023-01-12,NA,"Towson","Bob Carpenter Center","Home","19:00","Delaware"
"4752",2023-01-14,NA,"Hofstra","David S. Mack Sports and Exhibition Complex","Away","14:00","Delaware"
"4753",2023-01-16,NA,"Northeastern","Matthews Arena","Away","18:00","Delaware"
"4754",2023-01-20,NA,"William & Mary","Bob Carpenter Center","Home","19:00","Delaware"
"4755",2023-01-21,NA,"Drexel","Daskalakis Athletic Center","Away","14:00","Delaware"
"4756",2023-01-27,NA,"Hampton","Convocation Center (VA)","Away","19:00","Delaware"
"4757",2023-01-28,NA,"Northeastern","Bob Carpenter Center","Home","12:00","Delaware"
"4758",2023-02-03,NA,"Monmouth","OceanFirst Bank Center","Away","19:00","Delaware"
"4759",2023-02-04,NA,"College of Charleston","Bob Carpenter Center","Home","14:00","Delaware"
"4760",2023-02-09,NA,"Drexel","Bob Carpenter Center","Home","19:00","Delaware"
"4761",2023-02-14,NA,"Stony Brook","Bob Carpenter Center","Home","19:00","Delaware"
"4762",2023-02-17,NA,"Towson","SECU Arena","Away","19:00","Delaware"
"4763",2023-02-18,NA,"UNC Wilmington","Bob Carpenter Center","Home","16:00","Delaware"
"4764",2023-02-24,NA,"North Carolina A&T","Corbett Sports Center","Away","19:00","Delaware"
"4765",2023-02-26,NA,"Elon","Schar Center","Away","19:00","Delaware"
"4766",2022-11-08,"ESPN+","Virginia Tech","Cassell Coliseum","Away","21:00","Delaware St."
"4767",2022-11-08,"ACCNX","Virginia Tech","Cassell Coliseum","Away","21:00","Delaware St."
"4768",2022-11-11,NA,"Immaculata","Memorial Hall (Dover, DE)","Home","19:00","Delaware St."
"4769",2022-11-14,"FS2","Villanova","Finneran Pavilion","Away","18:30","Delaware St."
"4770",2022-11-17,"ESPN+","Columbia","Francis S. Levien Gymnasium","Away","19:00","Delaware St."
"4771",2022-11-20,"FS1","Connecticut","XL Center","Away","17:00","Delaware St."
"4772",2022-11-26,NA,"Liberty","Liberty Arena","Away","17:00","Delaware St."
"4773",2022-12-01,NA,"St. Francis Brooklyn","Pope Physical Education Center","Away","19:30","Delaware St."
"4774",2022-12-03,NA,"Longwood","Memorial Hall (Dover, DE)","Home","15:00","Delaware St."
"4775",2022-12-08,NA,"Delaware","Bob Carpenter Center","Away","19:00","Delaware St."
"4776",2022-12-10,NA,"Georgian Court","Memorial Hall (Dover, DE)","Home","14:00","Delaware St."
"4777",2022-12-17,NA,"Drexel","Daskalakis Athletic Center","Away","14:00","Delaware St."
"4778",2022-12-20,NA,"Wagner","Memorial Hall (Dover, DE)","Home","18:00","Delaware St."
"4779",2022-12-29,NA,"Penn St.","Bryce Jordan Center","Away","14:00","Delaware St."
"4780",2023-01-07,NA,"Howard","Burr Gymnasium","Away","16:00","Delaware St."
"4781",2023-01-10,NA,"Norfolk St.","Memorial Hall (Dover, DE)","Home","19:30","Delaware St."
"4782",2023-01-14,NA,"Maryland Eastern Shore","Hytche Athletic Center","Away","16:00","Delaware St."
"4783",2023-01-21,NA,"North Carolina Central","McDougald-McLendon Arena","Away","16:00","Delaware St."
"4784",2023-01-24,NA,"South Carolina St.","S-H-M Memorial Center","Away","19:30","Delaware St."
"4785",2023-01-28,NA,"Morgan St.","Memorial Hall (Dover, DE)","Home","16:00","Delaware St."
"4786",2023-01-31,NA,"Coppin St.","Physical Education Complex","Away","19:30","Delaware St."
"4787",2023-02-04,NA,"Morgan St.","Prudential Center","Neutral","00:00","Delaware St."
"4788",2023-02-08,NA,"Chicago St.","Memorial Hall (Dover, DE)","Home","19:00","Delaware St."
"4789",2023-02-11,NA,"Howard","Memorial Hall (Dover, DE)","Home","16:00","Delaware St."
"4790",2023-02-14,NA,"Norfolk St.","Joseph G. Echols Hall","Away","19:30","Delaware St."
"4791",2023-02-18,NA,"North Carolina Central","Memorial Hall (Dover, DE)","Home","16:00","Delaware St."
"4792",2023-02-21,NA,"South Carolina St.","Memorial Hall (Dover, DE)","Home","19:30","Delaware St."
"4793",2023-02-25,NA,"Morgan St.","Hill Field House","Away","16:00","Delaware St."
"4794",2023-02-28,NA,"Coppin St.","Memorial Hall (Dover, DE)","Home","19:30","Delaware St."
"4795",2023-03-03,NA,"Maryland Eastern Shore","Memorial Hall (Dover, DE)","Home","19:30","Delaware St."
"4796",2022-11-10,"ESPN+","IUPUI","The Knapp Center","Home","20:00","Drake"
"4797",2022-11-15,"ESPN+","Wofford","The Knapp Center","Home","20:00","Drake"
"4798",2022-11-18,"ESPN3","Buffalo","UVI Sports & Fitness Center","Neutral","14:00","Drake"
"4799",2022-11-26,"ESPN+","Louisiana Lafayette","The Knapp Center","Home","18:00","Drake"
"4800",2022-12-01,"ESPN+","Indiana St.","Hulman Center","Away","19:00","Drake"
"4801",2022-12-03,"ESPN+","Illinois Chicago","The Knapp Center","Home","18:00","Drake"
"4802",2022-12-08,"ESPN+","Nebraska Omaha","The Knapp Center","Home","20:00","Drake"
"4803",2022-12-10,"ESPN+","Richmond","Robins Center","Away","14:00","Drake"
"4804",2022-12-18,"ESPN+","Saint Louis","Chaifetz Arena","Away","20:00","Drake"
"4805",2022-12-20,NA,"Mississippi St.","Pinnacle Bank Arena","Neutral","17:00","Drake"
"4806",2022-12-22,"ESPN+","St. Ambrose","The Knapp Center","Home","00:00","Drake"
"4807",2022-12-30,NA,"Valparaiso","The Knapp Center","Home","21:00","Drake"
"4808",2023-01-01,"ESPN+","Missouri St.","Great Southern Bank Arena","Away","15:00","Drake"
"4809",2023-01-05,"ESPN+","Southern Illinois","Banterra Center","Away","20:00","Drake"
"4810",2023-01-07,"ESPN+","Murray St.","The Knapp Center","Home","18:00","Drake"
"4811",2023-01-11,"ESPN+","Illinois Chicago","Credit Union 1 Arena","Away","20:00","Drake"
"4812",2023-01-15,NA,"Bradley","The Knapp Center","Home","20:00","Drake"
"4813",2023-01-19,"ESPN+","Missouri St.","The Knapp Center","Home","20:00","Drake"
"4814",2023-01-21,"ESPN+","Evansville","Ford Center","Away","16:00","Drake"
"4815",2023-01-25,NA,"Indiana St.","The Knapp Center","Home","21:00","Drake"
"4816",2023-01-29,"ESPN+","Belmont","Curb Event Center Arena","Away","15:00","Drake"
